time,TAILWATER
361.7236953068,0.4880556E+16
361.7236953069,0.4880556E+16
361.7236953071,0.4880556E+16
361.7236953075,0.4880556E+16
361.7236953076,0.4880556E+16
361.7236953077,0.4880556E+16
361.7236953078,0.4880556E+16
361.7236953079,0.4880556E+16
361.7236953080,0.4880556E+16
361.7236953081,0.4880556E+16
361.7236953083,0.4880556E+16
361.7236953087,0.4880556E+16
361.7236953095,0.4880556E+16
361.7236953099,0.4880556E+16
361.7236953100,0.4880556E+16
361.7236953103,0.4880556E+16
361.7236953105,0.4880556E+16
361.7236953107,0.4880556E+16
361.7236953108,0.4880556E+16
361.7236953110,0.4880556E+16
361.7236953114,0.4880556E+16
361.7236953116,0.4880556E+16
361.7236953117,0.4880556E+16
361.7236953119,0.4880556E+16
361.7236953120,0.4880556E+16
361.7236953121,0.4880556E+16
361.7236953123,0.4880556E+16
361.7236953124,0.4880556E+16
361.7236953125,0.4880556E+16
361.7236953126,0.4880556E+16
361.7236953127,0.4880556E+16
361.7236953128,0.4880556E+16
361.7236953129,0.4880556E+16
361.7236953131,0.4880556E+16
361.7236953132,0.4880556E+16
361.7236953133,0.4880556E+16
361.7236953135,0.4880556E+16
361.7236953136,0.4880556E+16
361.7236953137,0.4880556E+16
361.7236953139,0.4880556E+16
361.7236953140,0.4880556E+16
361.7236953142,0.4880556E+16
361.7236953143,0.4880556E+16
361.7236953144,0.4880556E+16
361.7236953145,0.4880556E+16
361.7236953146,0.4880556E+16
361.7236953148,0.4880556E+16
361.7236953149,0.4880556E+16
361.7236953150,0.4880556E+16
361.7236953151,0.4880556E+16
361.7236953152,0.4880556E+16
361.7236953153,0.4880556E+16
361.7236953154,0.4880556E+16
361.7236953155,0.4880556E+16
361.7236953157,0.4880556E+16
361.7236953161,0.4880556E+16
361.7236953163,0.4880556E+16
361.7236953167,0.4880556E+16
361.7236953169,0.4880556E+16
361.7236953170,0.4880556E+16
361.7236953171,0.4880556E+16
361.7236953172,0.4880556E+16
361.7236953174,0.4880556E+16
361.7236953175,0.4880556E+16
361.7236953176,0.4880556E+16
361.7236953177,0.4880556E+16
361.7236953178,0.4880556E+16
361.7236953179,0.4880556E+16
361.7236953180,0.4880556E+16
361.7236953182,0.4880556E+16
361.7236953183,0.4880556E+16
361.7236953184,0.4880556E+16
361.7236953185,0.4880556E+16
361.7236953186,0.4880556E+16
361.7236953187,0.4880556E+16
361.7236953188,0.4880556E+16
361.7236953190,0.4880556E+16
361.7236953194,0.4880556E+16
361.7236953196,0.4880556E+16
361.7236953200,0.4880556E+16
361.7236953202,0.4880556E+16
361.7236953206,0.4880556E+16
361.7236953208,0.4880556E+16
361.7236953212,0.4880556E+16
361.7236953214,0.4880556E+16
361.7236953218,0.4880556E+16
361.7236953220,0.4880556E+16
361.7236953221,0.4880556E+16
361.7236953223,0.4880556E+16
361.7236953224,0.4880556E+16
361.7236953225,0.4880556E+16
361.7236953226,0.4880556E+16
361.7236953228,0.4880556E+16
361.7236953229,0.4880556E+16
361.7236953231,0.4880556E+16
361.7236953235,0.4880556E+16
361.7236953237,0.4880556E+16
361.7236953238,0.4880556E+16
361.7236953239,0.4880556E+16
361.7236953240,0.4880556E+16
361.7236953241,0.4880556E+16
361.7236953242,0.4880556E+16
361.7236953243,0.4880556E+16
361.7236953244,0.4880556E+16
361.7236953245,0.4880556E+16
361.7236953247,0.4880556E+16
361.7236953251,0.4880556E+16
361.7236953253,0.4880556E+16
361.7236953254,0.4880556E+16
361.7236953256,0.4880556E+16
361.7236953260,0.4880556E+16
361.7236953262,0.4880556E+16
361.7236953263,0.4880556E+16
361.7236953264,0.4880556E+16
361.7236953265,0.4880556E+16
361.7236953266,0.4880556E+16
361.7236953267,0.4880556E+16
361.7236953269,0.4880556E+16
361.7236953273,0.4880556E+16
361.7236953275,0.4880556E+16
361.7236953276,0.4880556E+16
361.7236953277,0.4880556E+16
361.7236953279,0.4880556E+16
361.7236953280,0.4880556E+16
361.7236953281,0.4880556E+16
361.7236953282,0.4880556E+16
361.7236953284,0.4880556E+16
361.7236953288,0.4880556E+16
361.7236953290,0.4880556E+16
361.7236953291,0.4880556E+16
361.7236953293,0.4880556E+16
361.7236953294,0.4880556E+16
361.7236953295,0.4880556E+16
361.7236953297,0.4880556E+16
361.7236953301,0.4880556E+16
361.7236953303,0.4880556E+16
361.7236953304,0.4880556E+16
361.7236953305,0.4880556E+16
361.7236953307,0.4880556E+16
361.7236953308,0.4880556E+16
361.7236953309,0.4880556E+16
361.7236953311,0.4880556E+16
361.7236953312,0.4880556E+16
361.7236953313,0.4880556E+16
361.7236953314,0.4880556E+16
361.7236953316,0.4880556E+16
361.7236953317,0.4880556E+16
361.7236953319,0.4880556E+16
361.7236953323,0.4880556E+16
361.7236953325,0.4880556E+16
361.7236953326,0.4880556E+16
361.7236953327,0.4880556E+16
361.7236953328,0.4880556E+16
361.7236953329,0.4880556E+16
361.7236953331,0.4880556E+16
361.7236953332,0.4880556E+16
361.7236953333,0.4880556E+16
361.7236953335,0.4880556E+16
361.7236953336,0.4880556E+16
361.7236953337,0.4880556E+16
361.7236953338,0.4880556E+16
361.7236953339,0.4880556E+16
361.7236953340,0.4880556E+16
361.7236953341,0.4880556E+16
361.7236953343,0.4880556E+16
361.7236953344,0.4880556E+16
361.7236953345,0.4880556E+16
361.7236953346,0.4880556E+16
361.7236953348,0.4880556E+16
361.7236953349,0.4880556E+16
361.7236953350,0.4880556E+16
361.7236953351,0.4880556E+16
361.7236953353,0.4880556E+16
361.7236953354,0.4880556E+16
361.7236953355,0.4880556E+16
361.7236953357,0.4880556E+16
361.7236953358,0.4880556E+16
361.7236953360,0.4880556E+16
361.7236953361,0.4880556E+16
361.7236953363,0.4880556E+16
361.7236953364,0.4880556E+16
361.7236953365,0.4880556E+16
361.7236953366,0.4880556E+16
361.7236953368,0.4880556E+16
361.7236953369,0.4880556E+16
361.7236953370,0.4880556E+16
361.7236953371,0.4880556E+16
361.7236953373,0.4880556E+16
361.7236953374,0.4880556E+16
361.7236953375,0.4880556E+16
361.7236953376,0.4880556E+16
361.7236953377,0.4880556E+16
361.7236953379,0.4880556E+16
361.7236953380,0.4880556E+16
361.7236953382,0.4880556E+16
361.7236953383,0.4880556E+16
361.7236953384,0.4880556E+16
361.7236953386,0.4880556E+16
361.7236953387,0.4880556E+16
361.7236953388,0.4880556E+16
361.7236953389,0.4880556E+16
361.7236953390,0.4880556E+16
361.7236953391,0.4880556E+16
361.7236953392,0.4880556E+16
361.7236953394,0.4880556E+16
361.7236953395,0.4880556E+16
361.7236953396,0.4880556E+16
361.7236953397,0.4880556E+16
361.7236953398,0.4880556E+16
361.7236953399,0.4880556E+16
361.7236953400,0.4880556E+16
361.7236953402,0.4880556E+16
361.7236953406,0.4880556E+16
361.7236953408,0.4880556E+16
361.7236953412,0.4880556E+16
361.7236953414,0.4880556E+16
361.7236953415,0.4880556E+16
361.7236953416,0.4880556E+16
361.7236953418,0.4880556E+16
361.7236953419,0.4880556E+16
361.7236953421,0.4880556E+16
361.7236953425,0.4880556E+16
361.7236953427,0.4880556E+16
361.7236953428,0.4880556E+16
361.7236953429,0.4880556E+16
361.7236953431,0.4880556E+16
361.7236953432,0.4880556E+16
361.7236953434,0.4880556E+16
361.7236953438,0.4880556E+16
361.7236953440,0.4880556E+16
361.7236953441,0.4880556E+16
361.7236953443,0.4880556E+16
361.7236953447,0.4880556E+16
361.7236953455,0.4880556E+16
361.7236953471,0.4880556E+16
361.7236953477,0.4880556E+16
361.7236953490,0.4880556E+16
361.7236953495,0.4880556E+16
361.7236953497,0.4880556E+16
361.7236953501,0.4880556E+16
361.7236953503,0.4880556E+16
361.7236953504,0.4880556E+16
361.7236953505,0.4880556E+16
361.7236953506,0.4880556E+16
361.7236953508,0.4880556E+16
361.7236953509,0.4880556E+16
361.7236953510,0.4880556E+16
361.7236953512,0.4880556E+16
361.7236953513,0.4880556E+16
361.7236953514,0.4880556E+16
361.7236953515,0.4880556E+16
361.7236953517,0.4880556E+16
361.7236953518,0.4880556E+16
361.7236953519,0.4880556E+16
361.7236953521,0.4880556E+16
361.7236953525,0.4880556E+16
361.7236953527,0.4880556E+16
361.7236953531,0.4880556E+16
361.7236953533,0.4880556E+16
361.7236953537,0.4880556E+16
361.7236953538,0.4880556E+16
361.7236953539,0.4880556E+16
361.7236953540,0.4880556E+16
361.7236953542,0.4880556E+16
361.7236953546,0.4880556E+16
361.7236953554,0.4880556E+16
361.7236953570,0.4880556E+16
361.7236953572,0.4880556E+16
361.7236953574,0.4880556E+16
361.7236953575,0.4880556E+16
361.7236953576,0.4880556E+16
361.7236953577,0.4880556E+16
361.7236953579,0.4880556E+16
361.7236953580,0.4880556E+16
361.7236953582,0.4880556E+16
361.7236953583,0.4880556E+16
361.7236953584,0.4880556E+16
361.7236953586,0.4880556E+16
361.7236953587,0.4880556E+16
361.7236953588,0.4880556E+16
361.7236953589,0.4880556E+16
361.7236953591,0.4880556E+16
361.7236953592,0.4880556E+16
361.7236953593,0.4880556E+16
361.7236953595,0.4880556E+16
361.7236953596,0.4880556E+16
361.7236953598,0.4880556E+16
361.7236953599,0.4880556E+16
361.7236953600,0.4880556E+16
361.7236953602,0.4880556E+16
361.7236953603,0.4880556E+16
361.7236953605,0.4880556E+16
361.7236953606,0.4880556E+16
361.7236953608,0.4880556E+16
361.7236953612,0.4880556E+16
361.7236953614,0.4880556E+16
361.7236953615,0.4880556E+16
361.7236953616,0.4880556E+16
361.7236953618,0.4880556E+16
361.7236953619,0.4880556E+16
361.7236953621,0.4880556E+16
361.7236953622,0.4880556E+16
361.7236953623,0.4880556E+16
361.7236953625,0.4880556E+16
361.7236953626,0.4880556E+16
361.7236953628,0.4880556E+16
361.7236953629,0.4880556E+16
361.7236953630,0.4880556E+16
361.7236953632,0.4880556E+16
361.7236953633,0.4880556E+16
361.7236953635,0.4880556E+16
361.7236953639,0.4880556E+16
361.7236953641,0.4880556E+16
361.7236953642,0.4880556E+16
361.7236953643,0.4880556E+16
361.7236953645,0.4880556E+16
361.7236953646,0.4880556E+16
361.7236953647,0.4880556E+16
361.7236953649,0.4880556E+16
361.7236953650,0.4880556E+16
361.7236953652,0.4880556E+16
361.7236953653,0.4880556E+16
361.7236953654,0.4880556E+16
361.7236953656,0.4880556E+16
361.7236953660,0.4880556E+16
361.7236953668,0.4880556E+16
361.7236953671,0.4880556E+16
361.7236953678,0.4880556E+16
361.7236953680,0.4880556E+16
361.7236953685,0.4880556E+16
361.7236953687,0.4880556E+16
361.7236953691,0.4880556E+16
361.7236953693,0.4880556E+16
361.7236953694,0.4880556E+16
361.7236953696,0.4880556E+16
361.7236953700,0.4880556E+16
361.7236953708,0.4880556E+16
361.7236953724,0.4880556E+16
361.7236953731,0.4880556E+16
361.7236953733,0.4880556E+16
361.7236953734,0.4880556E+16
361.7236953737,0.4880556E+16
361.7236953742,0.4880556E+16
361.7236953752,0.4880556E+16
361.7236953756,0.4880556E+16
361.7236953765,0.4880556E+16
361.7236953768,0.4880556E+16
361.7236953769,0.4880556E+16
361.7236953773,0.4880556E+16
361.7236953774,0.4880556E+16
361.7236953775,0.4880556E+16
361.7236953776,0.4880556E+16
361.7236953777,0.4880556E+16
361.7236953779,0.4880556E+16
361.7236953780,0.4880556E+16
361.7236953782,0.4880556E+16
361.7236953783,0.4880556E+16
361.7236953785,0.4880556E+16
361.7236953786,0.4880556E+16
361.7236953787,0.4880556E+16
361.7236953788,0.4880556E+16
361.7236953789,0.4880556E+16
361.7236953790,0.4880556E+16
361.7236953792,0.4880556E+16
361.7236953796,0.4880556E+16
361.7236953798,0.4880556E+16
361.7236953801,0.4880556E+16
361.7236953802,0.4880556E+16
361.7236953805,0.4880556E+16
361.7236953806,0.4880556E+16
361.7236953809,0.4880556E+16
361.7236953810,0.4880556E+16
361.7236953813,0.4880556E+16
361.7236953814,0.4880556E+16
361.7236953815,0.4880556E+16
361.7236953817,0.4880556E+16
361.7236953818,0.4880556E+16
361.7236953820,0.4880556E+16
361.7236953821,0.4880556E+16
361.7236953822,0.4880556E+16
361.7236953824,0.4880556E+16
361.7236953828,0.4880556E+16
361.7236953830,0.4880556E+16
361.7236953831,0.4880556E+16
361.7236953832,0.4880556E+16
361.7236953833,0.4880556E+16
361.7236953834,0.4880556E+16
361.7236953835,0.4880556E+16
361.7236953836,0.4880556E+16
361.7236953838,0.4880556E+16
361.7236953842,0.4880556E+16
361.7236953843,0.4880556E+16
361.7236953847,0.4880556E+16
361.7236953848,0.4880556E+16
361.7236953849,0.4880556E+16
361.7236953851,0.4880556E+16
361.7236953855,0.4880556E+16
361.7236953857,0.4880556E+16
361.7236953858,0.4880556E+16
361.7236953859,0.4880556E+16
361.7236953860,0.4880556E+16
361.7236953861,0.4880556E+16
361.7236953862,0.4880556E+16
361.7236953863,0.4880556E+16
361.7236953864,0.4880556E+16
361.7236953865,0.4880556E+16
361.7236953867,0.4880556E+16
361.7236953871,0.4880556E+16
361.7236953873,0.4880556E+16
361.7236953876,0.4880556E+16
361.7236953877,0.4880556E+16
361.7236953880,0.4880556E+16
361.7236953881,0.4880556E+16
361.7236953884,0.4880556E+16
361.7236953889,0.4880556E+16
361.7236953891,0.4880556E+16
361.7236953892,0.4880556E+16
361.7236953893,0.4880556E+16
361.7236953895,0.4880556E+16
361.7236953896,0.4880556E+16
361.7236953897,0.4880556E+16
361.7236953898,0.4880556E+16
361.7236953900,0.4880556E+16
361.7236953901,0.4880556E+16
361.7236953903,0.4880556E+16
361.7236953907,0.4880556E+16
361.7236953908,0.4880556E+16
361.7236953912,0.4880556E+16
361.7236953913,0.4880556E+16
361.7236953916,0.4880556E+16
361.7236953923,0.4880556E+16
361.7236953936,0.4880556E+16
361.7236953941,0.4880556E+16
361.7236953951,0.4880556E+16
361.7236953971,0.4880556E+16
361.7236953973,0.4880556E+16
361.7236953974,0.4880556E+16
361.7236953976,0.4880556E+16
361.7236953977,0.4880556E+16
361.7236953978,0.4880556E+16
361.7236953980,0.4880556E+16
361.7236953981,0.4880556E+16
361.7236953983,0.4880556E+16
361.7236953984,0.4880556E+16
361.7236953985,0.4880556E+16
361.7236953986,0.4880556E+16
361.7236953988,0.4880556E+16
361.7236953989,0.4880556E+16
361.7236953990,0.4880556E+16
361.7236953991,0.4880556E+16
361.7236953993,0.4880556E+16
361.7236953994,0.4880556E+16
361.7236953996,0.4880556E+16
361.7236953997,0.4880556E+16
361.7236953998,0.4880556E+16
361.7236954000,0.4880556E+16
361.7236954004,0.4880556E+16
361.7236954012,0.4880556E+16
361.7236954015,0.4880556E+16
361.7236954017,0.4880556E+16
361.7236954018,0.4880556E+16
361.7236954019,0.4880556E+16
361.7236954020,0.4880556E+16
361.7236954021,0.4880556E+16
361.7236954022,0.4880556E+16
361.7236954023,0.4880556E+16
361.7236954024,0.4880556E+16
361.7236954026,0.4880556E+16
361.7236954030,0.4880556E+16
361.7236954032,0.4880556E+16
361.7236954033,0.4880556E+16
361.7236954034,0.4880556E+16
361.7236954035,0.4880556E+16
361.7236954037,0.4880556E+16
361.7236954038,0.4880556E+16
361.7236954040,0.4880556E+16
361.7236954044,0.4880556E+16
361.7236954045,0.4880556E+16
361.7236954046,0.4880556E+16
361.7236954048,0.4880556E+16
361.7236954049,0.4880556E+16
361.7236954050,0.4880556E+16
361.7236954052,0.4880556E+16
361.7236954053,0.4880556E+16
361.7236954054,0.4880556E+16
361.7236954055,0.4880556E+16
361.7236954057,0.4880556E+16
361.7236954058,0.4880556E+16
361.7236954059,0.4880556E+16
361.7236954060,0.4880556E+16
361.7236954062,0.4880556E+16
361.7236954066,0.4880556E+16
361.7236954068,0.4880556E+16
361.7236954072,0.4880556E+16
361.7236954074,0.4880556E+16
361.7236954078,0.4880556E+16
361.7236954080,0.4880556E+16
361.7236954081,0.4880556E+16
361.7236954083,0.4880556E+16
361.7236954084,0.4880556E+16
361.7236954085,0.4880556E+16
361.7236954087,0.4880556E+16
361.7236954091,0.4880556E+16
361.7236954093,0.4880556E+16
361.7236954097,0.4880556E+16
361.7236954105,0.4880556E+16
361.7236954109,0.4880556E+16
361.7236954110,0.4880556E+16
361.7236954111,0.4880556E+16
361.7236954112,0.4880556E+16
361.7236954113,0.4880556E+16
361.7236954115,0.4880556E+16
361.7236954116,0.4880556E+16
361.7236954118,0.4880556E+16
361.7236954122,0.4880556E+16
361.7236954124,0.4880556E+16
361.7236954128,0.4880556E+16
361.7236954130,0.4880556E+16
361.7236954133,0.4880556E+16
361.7236954135,0.4880556E+16
361.7236954138,0.4880556E+16
361.7236954139,0.4880556E+16
361.7236954140,0.4880556E+16
361.7236954142,0.4880556E+16
361.7236954146,0.4880556E+16
361.7236954148,0.4880556E+16
361.7236954149,0.4880556E+16
361.7236954150,0.4880556E+16
361.7236954151,0.4880556E+16
361.7236954152,0.4880556E+16
361.7236954154,0.4880556E+16
361.7236954158,0.4880556E+16
361.7236954160,0.4880556E+16
361.7236954161,0.4880556E+16
361.7236954163,0.4880556E+16
361.7236954167,0.4880556E+16
361.7236954175,0.4880556E+16
361.7236954179,0.4880556E+16
361.7236954180,0.4880556E+16
361.7236954181,0.4880556E+16
361.7236954183,0.4880556E+16
361.7236954184,0.4880556E+16
361.7236954186,0.4880556E+16
361.7236954187,0.4880556E+16
361.7236954188,0.4880556E+16
361.7236954189,0.4880556E+16
361.7236954191,0.4880556E+16
361.7236954195,0.4880556E+16
361.7236954203,0.4880556E+16
361.7236954219,0.4880556E+16
361.7236954225,0.4880556E+16
361.7236954238,0.4880556E+16
361.7236954243,0.4880556E+16
361.7236954253,0.4880556E+16
361.7236954274,0.4880556E+16
361.7236954315,0.4880556E+16
361.7236954397,0.4880556E+16
361.7236954561,0.4880556E+16
361.7236954888,0.4880556E+16
361.7236955544,0.4880556E+16
361.7236956854,0.4880556E+16
361.7236959476,0.4880556E+16
361.7236959518,0.4880556E+16
361.7236959602,0.4880556E+16
361.7236959770,0.4880555E+16
361.7236959783,0.4880555E+16
361.7236959784,0.4880555E+16
361.7236959785,0.4880555E+16
361.7236959787,0.4880555E+16
361.7236959788,0.4880555E+16
361.7236959789,0.4880555E+16
361.7236959791,0.4880555E+16
361.7236959792,0.4880555E+16
361.7236959794,0.4880555E+16
361.7236959798,0.4880555E+16
361.7236959800,0.4880555E+16
361.7236959801,0.4880555E+16
361.7236959802,0.4880555E+16
361.7236959804,0.4880555E+16
361.7236959808,0.4880555E+16
361.7236959810,0.4880555E+16
361.7236959814,0.4880555E+16
361.7236959816,0.4880555E+16
361.7236959817,0.4880555E+16
361.7236959818,0.4880555E+16
361.7236959819,0.4880555E+16
361.7236959820,0.4880555E+16
361.7236959822,0.4880555E+16
361.7236959826,0.4880555E+16
361.7236959828,0.4880555E+16
361.7236959831,0.4880555E+16
361.7236959832,0.4880555E+16
361.7236959835,0.4880555E+16
361.7236959840,0.4880555E+16
361.7236959850,0.4880555E+16
361.7236959870,0.4880555E+16
361.7236959911,0.4880555E+16
361.7236959993,0.4880555E+16
361.7236960157,0.4880555E+16
361.7236960223,0.4880555E+16
361.7236960249,0.4880555E+16
361.7236960251,0.4880555E+16
361.7236960255,0.4880555E+16
361.7236960257,0.4880555E+16
361.7236960260,0.4880555E+16
361.7236960262,0.4880555E+16
361.7236960263,0.4880555E+16
361.7236960264,0.4880555E+16
361.7236960265,0.4880555E+16
361.7236960266,0.4880555E+16
361.7236960267,0.4880555E+16
361.7236960268,0.4880555E+16
361.7236960270,0.4880555E+16
361.7236960271,0.4880555E+16
361.7236960273,0.4880555E+16
361.7236960274,0.4880555E+16
361.7236960275,0.4880555E+16
361.7236960277,0.4880555E+16
361.7236960278,0.4880555E+16
361.7236960280,0.4880555E+16
361.7236960281,0.4880555E+16
361.7236960282,0.4880555E+16
361.7236960283,0.4880555E+16
361.7236960284,0.4880555E+16
361.7236960285,0.4880555E+16
361.7236960286,0.4880555E+16
361.7236960287,0.4880555E+16
361.7236960288,0.4880555E+16
361.7236960289,0.4880555E+16
361.7236960291,0.4880555E+16
361.7236960292,0.4880555E+16
361.7236960293,0.4880555E+16
361.7236960294,0.4880555E+16
361.7236960296,0.4880555E+16
361.7236960297,0.4880555E+16
361.7236960298,0.4880555E+16
361.7236960299,0.4880555E+16
361.7236960301,0.4880555E+16
361.7236960302,0.4880555E+16
361.7236960304,0.4880555E+16
361.7236960305,0.4880555E+16
361.7236960306,0.4880555E+16
361.7236960307,0.4880555E+16
361.7236960309,0.4880555E+16
361.7236960313,0.4880555E+16
361.7236960315,0.4880555E+16
361.7236960316,0.4880555E+16
361.7236960317,0.4880555E+16
361.7236960319,0.4880555E+16
361.7236960323,0.4880555E+16
361.7236960325,0.4880555E+16
361.7236960326,0.4880555E+16
361.7236960328,0.4880555E+16
361.7236960329,0.4880555E+16
361.7236960331,0.4880555E+16
361.7236960332,0.4880555E+16
361.7236960333,0.4880555E+16
361.7236960334,0.4880555E+16
361.7236960335,0.4880555E+16
361.7236960336,0.4880555E+16
361.7236960338,0.4880555E+16
361.7236960339,0.4880555E+16
361.7236960340,0.4880555E+16
361.7236960341,0.4880555E+16
361.7236960342,0.4880555E+16
361.7236960344,0.4880555E+16
361.7236960345,0.4880555E+16
361.7236960346,0.4880555E+16
361.7236960347,0.4880555E+16
361.7236960348,0.4880555E+16
361.7236960349,0.4880555E+16
361.7236960350,0.4880555E+16
361.7236960351,0.4880555E+16
361.7236960353,0.4880555E+16
361.7236960357,0.4880555E+16
361.7236960359,0.4880555E+16
361.7236960360,0.4880555E+16
361.7236960361,0.4880555E+16
361.7236960362,0.4880555E+16
361.7236960363,0.4880555E+16
361.7236960364,0.4880555E+16
361.7236960365,0.4880555E+16
361.7236960367,0.4880555E+16
361.7236960368,0.4880555E+16
361.7236960369,0.4880555E+16
361.7236960370,0.4880555E+16
361.7236960372,0.4880555E+16
361.7236960373,0.4880555E+16
361.7236960374,0.4880555E+16
361.7236960375,0.4880555E+16
361.7236960376,0.4880555E+16
361.7236960377,0.4880555E+16
361.7236960378,0.4880555E+16
361.7236960380,0.4880555E+16
361.7236960381,0.4880555E+16
361.7236960382,0.4880555E+16
361.7236960384,0.4880555E+16
361.7236960385,0.4880555E+16
361.7236960386,0.4880555E+16
361.7236960387,0.4880555E+16
361.7236960389,0.4880555E+16
361.7236960393,0.4880555E+16
361.7236960395,0.4880555E+16
361.7236960399,0.4880555E+16
361.7236960401,0.4880555E+16
361.7236960405,0.4880555E+16
361.7236960407,0.4880555E+16
361.7236960408,0.4880555E+16
361.7236960410,0.4880555E+16
361.7236960414,0.4880555E+16
361.7236960416,0.4880555E+16
361.7236960420,0.4880555E+16
361.7236960422,0.4880555E+16
361.7236960423,0.4880555E+16
361.7236960424,0.4880555E+16
361.7236960426,0.4880555E+16
361.7236960427,0.4880555E+16
361.7236960429,0.4880555E+16
361.7236960430,0.4880555E+16
361.7236960432,0.4880555E+16
361.7236960433,0.4880555E+16
361.7236960434,0.4880555E+16
361.7236960436,0.4880555E+16
361.7236960437,0.4880555E+16
361.7236960438,0.4880555E+16
